Tray,Species,Pop, Endo,Site,Var1,Var2,Location,Birthday,Jan8_census,Replacement_(NEW BIRTHDAY),n_Inflo,date_collect,2nd_date_collect,3rd_date_collect,spike_inflo_a,spike_inflo_b,spike_inflo_c,spike_inflo_d,spike_inflo_e,spike_inflo_f,spike_inflo_g,spike_inflo_h,spike_inflo_i,spike_infl_j,spike_inflos_unk,tot_spikelet,avg_spikelet,total_inflo,total_spik,abg_mass_sans_inflo,seed save,seed squash,Inflo_mass,abg_mass_tot,NOTES
2,AGHY,SJC,E-,LAF,B,9,B9,1/27/2025,,,4,7/16/2025,,,23,58,47,46,,,,,,,11,185,46,5,231,0.32005,,,,0.32005,"old sample, spikelets disintegrated"
2,AGHY,SJC,E-,LAF,B,10,B10,1/27/2025,0,3/19/25,1,7/16/2025,9/2/2025,,116,46,101,,,,,,,,,263,263,3,789,,,,,,
2,AGHY,LPEF,E-,KER,B,11,B11,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E+,HUN,B,12,B12,1/27/2025,,,2,7/16/2025,7/22/2025,,105,97,,,,,,,,,16,218,109,2,218,0.37439,,,,0.37439,
2,AGHY,SJC,E-,BAS,B,13,B13,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no plant/ weeds
2,AGHY,SJC,E+,KER,B,14,B14,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.02106,,,,0.02106,
2,AGHY,SJC,E-,SON,C,1,C1,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.01197,,,,0.01197,
2,AGHY,LPEF,E-,HUN,C,2,C2,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E+,COL,C,3,C3,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.18734,,,,0.18734,
2,AGHY,LPEF,E+,LAF,C,4,C4,1/27/2025,,,4,7/16/2025,7/22/2025,,136,157,59,191,,,,,,,14,557,139,6,836,0.33964,,,,0.33964,
2,AGHY,LPEF,E-,BFL,C,5,C5,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E-,BFL,C,6,C6,,,,,,,,,,,,,,,,,,,,,NA,, ,,,,#VALUE!,no soil/ empty
2,AGHY,LPEF,E+,SON,C,7,C7,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no plant/ weeds
2,AGHY,LPEF,E+,BFL,C,8,C8,1/27/2025,,,1,7/16/2025,9/2/2025,,104,86,,,,,,,,,,190,190,2,380,0.28586,,,,0.28586,
2,AGHY,SJC,E+,LAF,C,9,C9,1/27/2025,,,1,7/16/2025,,,46,,,,,,,,,,,46,46,1,46,0.27063,,,,0.27063,
2,AGHY,LPEF,E+,BFL,C,10,C10,1/27/2025,,,3,7/16/2025,,,109,106,73,,,,,,,,,288,96,3,288,0.26462,,,,0.26462,
2,AGHY,SJC,E+,COL,C,11,C11,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.19058,,,,0.19058,
2,AGHY,LPEF,E-,BAS,C,12,C12,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E-,LAF,C,13,C13,1/27/2025,,,3,7/16/2025,7/22/2025,,76,63,57,,,,,,,,,196,65,3,196,0.24219,,,,0.24219,
2,AGHY,LPEF,E+,HUN,C,14,C14,1/27/2025,,,4,7/16/2025,7/22/2025,,188,125,131,151,,,,,,,16,611,153,4,611,0.49925,,,,0.49925,
2,AGHY,SJC,E-,HUN,D,1,D1,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.36495,,,,0.36495,
2,AGHY,SJC,E+,SON,D,2,D2,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no plant/ weeds
2,AGHY,LPEF,E+,KER,D,3,D3,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no plant/ weeds
2,AGHY,LPEF,E-,HUN,D,4,D4,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E+,BFL,D,5,D5,1/27/2025,,,3,7/16/2025,,,52,108,172,,,,,,,,10,342,114,3,342,0.39679,,,,0.39679,
2,AGHY,LPEF,E-,COL,D,6,D6,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E+,BFL,D,7,D7,1/27/2025,,,1,7/16/2025,,,62,,,,,,,,,,,62,62,1,62,0.39747,,,,0.39747,
2,AGHY,SJC,E+,BAS,D,8,D8,1/27/2025,,,2,7/16/2025,,,91,74,,,,,,,,,,165,83,3,248,0.33522,,,,0.33522,
2,AGHY,SJC,E+,BAS,D,9,D9,1/27/2025,,,6,7/7/2025,,,78,92,48,29,67,88,,,,,6,408,68,7,476,0.29454,,,,0.29454,
2,AGHY,SJC,E-,BFL,D,10,D10,1/27/2025,0,3/19/25,,,,,,,,,,,,,,,,,,NA,,0.20399,,,,0.20399,
2,AGHY,LPEF,E+,KER,D,11,D11,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.02092,,,,0.02092,
2,AGHY,LPEF,E+,COL,D,12,D12,1/27/2025,,,1,7/22/2025,,,156,,,,,,,,,,,156,156,1,156,0.1623,,,,0.1623,
2,AGHY,LPEF,E+,BAS,D,13,D13,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.30995,,,,0.30995,
2,AGHY,SJC,E-,BFL,D,14, ,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E-,HUN,E,1,E1,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E+,LAF,E,2,E2,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.45542,,,,0.45542,
2,AGHY,SJC,E-,SON,E,3,E3,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E-,COL,E,4,E4,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E-,BFL,E,5,E5,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E+,COL,E,6,E6,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.10958,,,,0.10958,
2,AGHY,SJC,E-,BFL,E,7,E7,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E+,SON,E,8,E8,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.08709,,,,0.08709,
2,AGHY,LPEF,E+,LAF,E,9,E9,1/27/2025,,,1,7/22/2025,,,72,,,,,,,,,,,72,72,1,72,0.22228,,,,0.22228,
2,AGHY,LPEF,E+,COL,E,10,E10,1/27/2025,,,,9/2/2025,,,152,,,,,,,,,,,,,1,,0.18005,,,,0.18005,
2,AGHY,SJC,E+,SON,E,11,E11,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.07938,,,,0.07938,
2,AGHY,LPEF,E+,BAS,E,12,E12,1/27/2025,,,1,7/16/2025,9/2/2025,,123,112,,,,,,,,,,235,235,2,470,0.39319,,,,0.39319,
2,AGHY,SJC,E-,COL,E,13,E13,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.21709,,,,0.21709,
2,AGHY,LPEF,E-,LAF,E,14,E14,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E-,BFL,F,1,F1,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E+,HUN,F,2,F2,1/27/2025,,,2,7/16/2025,,,133,145,,,,,,,,,,278,139,2,278,0.39429,,,,0.39429,
2,AGHY,LPEF,E+,KER,F,3,F3,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,,,,,,
2,AGHY,SJC,E+,BAS,F,4,F4,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.3458,,,,0.3458,
2,AGHY,LPEF,E-,BAS,F,5,F5,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E+,SON,F,6,F6,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.0665,,,,0.0665,
2,AGHY,SJC,E-,SON,F,7,F7,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.03108,,,,0.03108,
2,AGHY,SJC,E+,HUN,F,8,F8,1/27/2025,,,1,7/16/2025,,,50,,,,,,,,,,,50,50,1,50,0.51026,,,,0.51026,"old sample, spikelets disintegrated"
2,AGHY,LPEF,E+,SON,F,9,F9,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.02637,,,,0.02637,
2,AGHY,SJC,E-,COL,F,10,F10,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.12174,,,,0.12174,
2,AGHY,LPEF,E-,HUN,F,11,F11,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E-,KER,F,12,F12,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E-,KER,F,13,F13,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,,,,,,
2,AGHY,SJC,E+,LAF,F,14,F14,1/27/2025,,,5,7/7/2025,,,81,72,61,40,101,,,,,,6,361,72,5,361,0.3523,,,,0.3523,
2,AGHY,LPEF,E-,COL,G,1,G1,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E-,BAS,G,2,G2,1/27/2025,,,2,7/16/2025,,,66,48,,,,,,,,,13,127,64,2,127,0.416,,,,0.416,
2,AGHY,SJC,E-,KER,G,3,G3,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.02114,,,,0.02114,
2,AGHY,SJC,E-,BAS,G,4,G4,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.10399,,,,0.10399,
2,AGHY,SJC,E-,KER,G,5,G5,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E+,HUN,G,6,G6,1/27/2025,,,3,7/16/2025,,,84,59,85,,,,,,,,,228,76,3,228,0.51285,,,,0.51285,
2,AGHY,LPEF,E-,SON,G,7,G7,,,,1,7/16/2025,,,103,,,,,,,,,,,103,103,1,103,,,,,,"old sample, spikelets disintegrated, no soil/ empty"
2,AGHY,LPEF,E+,HUN,G,8,G8,1/27/2025,,,4,7/16/2025,,,95,73,88,61,,,,,,,6,323,81,8,646,0.39398,,,,0.39398,
2,AGHY,SJC,E+,BFL,G,9,G9,1/27/2025,,,4,7/16/2025,,,56,59,76,64,,,,,,,,255,64,4,255,0.31443,,,,0.31443,
2,AGHY,LPEF,E-,LAF,G,10,G10,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,LPEF,E-,LAF,G,11,G11,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no soil/ empty
2,AGHY,SJC,E+,KER,G,12,G12,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,0.00279,,,,0.00279,
2,AGHY,SJC,E-,HUN,G,13,G13,, ,,,,,,,,,,,,,,,,,,,NA,,,,,,,no plant/ weeds
2,AGHY,SJC,E+,BFL,G,14,G14,1/27/2025,,,,,,,,,,,,,,,,,,,,NA,,,,,,,no plant/ weeds
1,ELVI,JLP,E+,BAS,A,1,A1,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.24433,,,,0.24433,
1,ELVI,PALM,E-,LAF,A,2,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,KER,A,3,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,SON,A,4,A4,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.15529,,,,0.15529,
1,ELVI,PALM,E+,COL,A,5,A5,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.15463,,,,0.15463,
1,ELVI,JLP,E+,KER,A,6,A6,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.1887,,,,0.1887,
1,ELVI,JLP,E-,SON,A,7,A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,SON,A,8,A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,COL,A,9,A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,SON,A,10,A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,COL,A,11,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,COL,A,12,A12,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.19286,,,,0.19286,
1,ELVI,JLP,E-,BAS,A,13,A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,HUN,A,14,A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,HUN,B,1,B1,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.28271,,,,0.28271,
1,ELVI,PALM,E+,HUN,B,2,B2,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.36245,,,,0.36245,
1,ELVI,PALM,E+,KER,B,3,B3,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.2624,,,,0.2624,
1,ELVI,PALM,E+,KER,B,4,B4,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.35188,,,,0.35188,
1,ELVI,JLP,E-,LAF,B,5,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,BFL,B,6,B6,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.1273,,,,0.1273,
1,ELVI,JLP,E+,SON,B,7,B7,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.33621,,,,0.33621,
1,ELVI,PALM,E+,KER,B,8,B8,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.21473,,,,0.21473,
1,ELVI,PALM,E+,LAF,B,9,B9,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.12711,,,,0.12711,
1,ELVI,JLP,E-,BFL,B,10,B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,BAS,B,11,B11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,COL,B,12,B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,HUN,B,13,B13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,SON,B,14,B14,,,,,,,,,,,,,,,,,,,,,,, ,,,,#VALUE!,
1,ELVI,PALM,E-,SON,C,1,C1,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.38872,,,,0.38872,
1,ELVI,JLP,E+,HUN,C,2,C2 (maybe +C7+C8 accidentally),02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.9735,,,,0.9735,
1,ELVI,JLP,E-,BFL,C,3,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,HUN,C,4,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,KER,C,5,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,BAS,C,6,C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,KER,C,7,C7,02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,BFL,C,8,C8,02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,BAS,C,9,C9,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.41753,,,,0.41753,
1,ELVI,JLP,E+,COL,C,10,C10,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.18255,,,,0.18255,
1,ELVI,JLP,E+,SON,C,11,C11,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.677,,,,0.677,
1,ELVI,PALM,E-,LAF,C,12,C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,LAF,C,13,C13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,SON,C,14,C14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,BAS,D,1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,LAF,D,2,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,BAS,D,3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,SON,D,4,D4,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.45833,,,,0.45833,
1,ELVI,JLP,E+,LAF,D,5,D5,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.32479,,,,0.32479,
1,ELVI,JLP,E+,LAF,D,6,D6,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.39184,,,,0.39184,
1,ELVI,JLP,E-,HUN,D,7,D7,,,,,,,,,,,,,,,,,,,,,,,0.09705,,,,0.09705,
1,ELVI,PALM,E-,KER,D,8,D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,COL,D,9,D9,,,,,,,,,,,,,,,,,,,,,,,0.52967,,,,0.52967,
1,ELVI,JLP,E+,HUN,D,10,D10,02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,BAS,D,11,D11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,SON,D,12,D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,COL,D,13,D13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,BAS,D,14,D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,BFL,E,1,E1,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.28263,,,,0.28263,
1,ELVI,JLP,E+,HUN,E,2,E2,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.37845,,,,0.37845,
1,ELVI,JLP,E-,COL,E,3,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,BAS,E,4,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,BFL,E,5,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,LAF,E,6,E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,KER,E,7,E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,COL,E,8,E8,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.1289,,,,0.1289,
1,ELVI,PALM,E+,BFL,E,9,E9,02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,BFL,E,10,E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,KER,E,11,E11,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.4479,,,,0.4479,
1,ELVI,PALM,E-,COL,E,12,E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,BAS,E,13,E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,BAS,E,14,E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,KER,F,1,F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,BFL,F,2,F2,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.32036,,,,0.32036,
1,ELVI,PALM,E-,HUN,F,3,F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,LAF,F,4,F4,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.19239,,,,0.19239,
1,ELVI,JLP,E-,HUN,F,5,F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,COL,F,6,F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,BAS,F,7,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,BFL,F,8,F8,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.19468,,,,0.19468,
1,ELVI,JLP,E+,BFL,F,9,F9,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.30196,,,,0.30196,
1,ELVI,JLP,E-,LAF,F,10,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,HUN,F,11,F11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,SON,F,12,F12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,BFL,F,13,F13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,KER,F,14,F14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,KER,G,1,G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E+,LAF,G,2,G2,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.27592,,,,0.27592,
1,ELVI,JLP,E-,BFL,G,3,G3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,HUN,G,4,G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,LAF,G,5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E+,BFL,G,6,G6,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.03348,,,,0.03348,
1,ELVI,JLP,E+,LAF,G,7,G7,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.36505,,,,0.36505,
1,ELVI,PALM,E+,COL,G,8,G8,02/12/2025,,,,,,,,,,,,,,,,,,,,,,0.19359,,,,0.19359,
1,ELVI,PALM,E+,BAS,G,9,G9,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
1,ELVI,PALM,E-,HUN,G,10,G10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,JLP,E-,SON,G,11,G11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,KER,G,12,G12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,COL,G,13,G13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ELVI,PALM,E-,SON,G,14,G14,,,,,,,,,,,,,,,,,,,,,,,,,,,,